Aug 2019,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Total
Get Up,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,21
Push Ups,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,,1,1,,1,1,,,,,,,,,18
Pull Ups,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,,1,1,,,,,,,,,20
Squats,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,,1,1,,1,1,,,,,,,,,18
Abs/Stability,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,,1,1,,1,1,,,,,,,,,18
Run/Walk/Bike,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,22
Slackline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Soccer,1,,,,,,,,,,,1,,,,,1,,1,,,,,,,,,,,,4
Meditate,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,22
Yoga/TaiChi,1,,1,,,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,17
Mobility,,,,,,,1,1,,1,1,1,1,1,1,1,,1,1,1,,,,,,,,,,,12
Read,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,,,,,,,,,,20
Write,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,21
Learn,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,22
Play Music,,1,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,4
